"","Quercus_CA","Quercus_MX","Quercus_MX_stellatae","roburoids_albae","mac_bic","mac_bic_lob"
"refRAD.ref_glauca_raxml.bt014",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"refRAD.ref_glauca_raxml.bt015",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
"refRAD.ref_glauca_raxml.bt016",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"refRAD.ref_glauca_raxml.bt017",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"refRAD.ref_glauca_raxml.bt018",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"refRAD.ref_glauca_raxml.bt019",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"refRAD.ref_glauca_raxml.bt020",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"refRAD.ref_glauca_raxml.bt021",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"refRAD.ref_glauca_raxml.bt022",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"refRAD.ref_glauca_raxml.bt023",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"refRAD.ref_glauca_raxml.bt024",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"refRAD.ref_glauca_raxml.bt025",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
"refRAD.ref_glauca_raxml.bt026",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
"refRAD.ref_glauca_raxml.bt027",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
"refRAD.ref_glauca_raxml.bt028",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"refRAD.ref_glauca_raxml.bt029",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
"refRAD.ref_glauca_raxml.bt030",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
"refRAD.ref_glauca_raxml.bt031",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
"refRAD.ref_glauca_raxml.bt032",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
"refRAD.ref_glauca_raxml.bt033",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"refRAD.ref_glauca_raxml.bt034",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"refRAD.ref_glauca_raxml.bt035",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"refRAD.ref_glauca_raxml.bt036",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"refRAD.ref_glauca_raxml.bt037",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"refRAD.ref_glauca_raxml.bt038",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"refRAD.ref_glauca_raxml.bt039",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"refRAD.ref_glauca_raxml.bt040",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"refRAD.ref_glauca_raxml.bt041",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"refRAD.ref_glauca_raxml.bt042",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"refRAD.ref_glauca_raxml.bt043",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
"refRAD.ref_glauca_raxml.bt044",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"refRAD.ref_glauca_raxml.bt045",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"refRAD.ref_glauca_raxml.bt046",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"refRAD.ref_glauca_raxml.bt047",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"refRAD.ref_glauca_raxml.bt048",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"refRAD.ref_glauca_raxml.bt049",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
